📺四季嗅探,#genre#
東森購物三台,https://www.4gtv.tv/channel/4gtv-live048?set=1&ch=22
博斯高球台,https://www.4gtv.tv/channel/litv-longturn05?set=1&ch=22
博斯運動一台,https://www.4gtv.tv/channel/litv-longturn07?set=1&ch=22
博斯無限台,https://www.4gtv.tv/channel/litv-longturn10?set=1&ch=22
博斯網球台,https://www.4gtv.tv/channel/litv-longturn09?set=1&ch=22
TRACE Sport Stars,https://www.4gtv.tv/channel/4gtv-4gtv077?set=1&ch=22
智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=22
時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=22
車迷TV,https://www.4gtv.tv/channel/4gtv-live201?set=1&ch=22
GINX Esports TV,https://www.4gtv.tv/channel/4gtv-4gtv053?set=1&ch=22
TechStorm,https://www.4gtv.tv/channel/4gtv-live109?set=1&ch=22
Pet Club TV,https://www.4gtv.tv/channel/4gtv-live110?set=1&ch=22
民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=22
滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=1&ch=22
亞洲旅遊台,https://www.4gtv.tv/channel/litv-longturn17?set=1&ch=22
fun探索娛樂台,https://www.4gtv.tv/channel/4gtv-live011?set=1&ch=22
幸福空間居家台,https://www.4gtv.tv/channel/4gtv-live206?set=1&ch=22
Love Nature,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=22
History 歷史頻道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=22
愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=22
LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=1&ch=22
TV5MONDE STYLE HD 生活時尚,https://www.4gtv.tv/channel/4gtv-live122?set=1&ch=22
公視戲劇,https://www.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=22
民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=22
龍華戲劇台,https://www.4gtv.tv/channel/litv-longturn18?set=1&ch=22
HITS頻道,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=22
龍華日韓台,https://www.4gtv.tv/channel/litv-longturn11?set=1&ch=22
八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=22
靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=22
靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=22
CI 罪案偵查頻道,https://www.4gtv.tv/channel/4gtv-live027?set=1&ch=22
視納華仁紀實頻道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=22
影迷數位紀實台,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=22
金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=22
ROCK Action,https://www.4gtv.tv/channel/4gtv-live138?set=1&ch=22
采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=22
靖天映畫,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=22
靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=22
龍華電影台,https://www.4gtv.tv/channel/litv-longturn03?set=1&ch=22
影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=22
amc電影台,https://www.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=22
CinemaWorld,https://www.4gtv.tv/channel/4gtv-live069?set=1&ch=22
My Cinema Europe HD 我的歐洲電影,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=22
好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=1&ch=22
好消息,https://www.4gtv.tv/channel/litv-ftv16?set=1&ch=22
大愛二台,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=22
人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=22
半島國際新聞台,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=22
VOA美國之音,https://www.4gtv.tv/channel/litv-ftv03?set=1&ch=22
CNBC Asia 財經台,https://www.4gtv.tv/channel/4gtv-live130?set=1&ch=22
DW德國之聲,https://www.4gtv.tv/channel/4gtv-live071?set=1&ch=22
國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=22
國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=22
TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=22
TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=22
經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=22
經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=22
兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=22
精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=22
戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=22
戲劇免費看 2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=22
電影免費看 1台,https://www.4gtv.tv/channel/4gtv-live013?set=1&ch=22
電影免費看 2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=22
超人力霸王整套看,https://www.4gtv.tv/channel/4gtv-live015?set=1&ch=22
花系列 經典劇場,https://www.4gtv.tv/channel/4gtv-live016?set=1&ch=22
